Time,Class,Remarks
0,他,
0.1,他,
0.2,他,
0.3,他,
0.4,他,
0.5,他,
0.6,他,
0.7,他,
0.8,他,
0.9,他,
1,他,
1.1,他,
1.2,他,
1.3,他,
1.4,他,
1.5,他,
1.6,他,
1.7,他,
1.8,他,
1.9,他,
2,他,
2.4,あ,
2.5,あ,
2.6,あ,
2.7,あ,
2.8,あ,
2.9,あ,
3,あ,
3.1,あ,
3.2,あ,
3.3,あ,
3.6,他,
3.7,他,
3.8,他,
3.9,他,
4,他,
4.1,他,
4.2,他,
4.3,他,
4.4,他,
4.5,他,
4.6,他,
4.7,他,
4.8,他,
4.9,他,
5,他,
5.1,他,
5.2,他,
5.45,い,
5.55,い,
5.65,い,
5.75,い,
5.85,い,
5.95,い,
6.05,い,
6.15,い,
6.25,い,
6.35,い,
6.7,他,
6.8,他,
6.9,他,
7,他,
7.1,他,
7.2,他,
7.3,他,
7.4,他,
7.5,他,
7.6,他,
7.7,他,
7.8,他,
7.9,他,
8,他,
8.1,他,
8.2,他,
8.3,他,
8.4,他,
8.5,他,
8.6,他,
8.7,他,
8.8,他,
8.9,他,
9,他,
9.1,他,
9.2,他,
9.3,他,
9.4,他,
9.55,う,
9.65,う,
9.75,う,
9.85,う,
9.95,う,
10.05,う,
10.15,う,
10.25,う,
10.425,他,「う」の後の雑音
10.43,他,「う」の後の雑音
10.5,他,
10.6,他,
10.7,他,
10.8,他,
10.9,他,
11,他,
11.1,他,
11.2,他,
11.3,他,
11.4,他,
11.5,他,
11.6,他,
11.7,他,
11.8,他,
11.9,他,
12,他,
12.1,他,
12.2,他,
12.3,他,
12.4,他,
12.5,他,
12.75,え,
12.85,え,
12.95,え,
13.05,え,
13.15,え,
13.25,え,
13.35,え,
13.5,え,
13.7,他,
13.8,他,
13.9,他,
14,他,
14.1,他,
14.2,他,
14.3,他,
14.4,他,
14.5,他,
14.6,他,
14.7,他,
14.8,他,
14.9,他,
15,他,
15.1,他,
15.2,他,
15.3,他,
15.4,他,
15.5,他,
15.6,他,
15.7,他,
15.8,他,
15.9,他,
16,他,
16.1,他,
16.2,他,
16.3,他,
16.4,他,
16.6,お,
16.7,お,
16.8,お,
16.9,お,
17,お,
17.1,お,
17.2,お,
17.3,お,
17.4,お,
17.5,お,
17.55,お,
17.7,他,
17.8,他,
17.9,他,
18,他,
18.1,他,
18.2,他,
18.3,他,
18.4,他,
18.5,他,
18.6,他,
18.7,他,
18.8,他,
18.9,他,
19,他,
19.1,他,
19.2,他,
19.3,他,
19.4,他,
19.5,他,
19.6,他,
19.7,他,
19.8,他,
19.9,他,
20,他,
20.1,他,
